Date,Price
2017-12-09,229.4
2017-12-10,229.4
2017-12-11,230.5
2017-12-13,230.9
2017-12-14,229.7
2017-12-15,230.0
2017-12-16,230.0
2017-12-17,230.0
2017-12-18,231.35
2017-12-19,233.05
2017-12-20,232.0
2017-12-21,235.45
2017-12-22,235.9
2017-12-23,235.9
2017-12-24,235.9
2017-12-25,235.9
2017-12-26,235.9
2017-12-27,234.2
2017-12-28,234.3
2017-12-29,235.0
2017-12-30,235.0
2017-12-31,235.0
2018-01-01,235.0
2018-01-02,233.8
2018-01-03,233.45
2018-01-04,235.3
2018-01-05,236.8
2018-01-06,236.8
2018-01-07,236.8
2018-01-08,237.65
2018-01-09,238.0
2018-01-10,232.6
2018-01-11,228.45
2018-01-12,229.35
2018-01-13,229.35
2018-01-14,229.35
2018-01-15,228.0
2018-01-16,231.05
2018-01-17,227.65
2018-01-18,226.0
2018-01-19,225.8
2018-01-20,225.8
2018-01-21,225.8
2018-01-22,227.35
2018-01-23,228.35
2018-01-24,225.3
2018-01-25,224.4
2018-01-26,225.6
2018-01-27,225.6
2018-01-28,225.6
2018-01-29,226.35
2018-01-30,224.4
2018-01-31,224.6
2018-02-01,214.4
2018-02-02,219.5
2018-02-03,219.5
2018-02-04,219.5
2018-02-05,210.7
2018-02-06,205.3
2018-02-07,210.0
2018-02-08,203.65
2018-02-09,201.8
2018-02-10,201.8
2018-02-11,201.8
2018-02-12,202.2
2018-02-13,200.6
2018-02-14,199.74
2018-02-15,199.86
2018-02-16,204.65
2018-02-17,204.65
2018-02-18,204.65
2018-02-19,203.55
2018-02-20,203.0
2018-02-21,202.4
2018-02-22,201.85
2018-02-23,203.85
2018-02-24,203.85
2018-02-25,203.85
2018-02-26,205.55
2018-02-27,204.8
2018-02-28,203.75
2018-03-01,202.35
2018-03-02,199.02
2018-03-03,199.02
2018-03-04,199.02
2018-03-05,202.3
2018-03-06,203.4
2018-03-07,204.5
2018-03-08,207.6
2018-03-09,207.0
2018-03-10,207.0
2018-03-11,207.0
2018-03-12,207.2
2018-03-13,202.9
2018-03-14,202.4
2018-03-15,201.4
2018-03-16,201.5
2018-03-17,201.5
2018-03-18,201.5
2018-03-19,198.64
